key,category,zh,en,ja,description
tokenHistory.type.createTopic,token_history,建立主題,Create Topic,トピック作成,失序值交易類型：建立主題
tokenHistory.type.freeCreateTopic,token_history,免費建立主題,Free Create Topic,無料トピック作成,失序值交易類型：免費建立主題
tokenHistory.type.castVote,token_history,投票,Cast Vote,投票する,失序值交易類型：投票
tokenHistory.type.freeVote,token_history,免費投票,Free Vote,無料投票,失序值交易類型：免費投票
tokenHistory.type.completeMission,token_history,完成任務,Complete Mission,ミッション完了,失序值交易類型：完成任務
tokenHistory.type.watchAd,token_history,觀看廣告,Watch Ad,広告を見る,失序值交易類型：觀看廣告
tokenHistory.type.adminAdjustment,token_history,系統調整,Admin Adjustment,システム調整,失序值交易類型：系統調整
tokenHistory.type.purchase,token_history,購買,Purchase,購入,失序值交易類型：購買
tokenHistory.header.title,token_history,失序值使用紀錄,Chaos Value History,カオス値利用履歴,失序值紀錄頁面標題
tokenHistory.header.subtitle,token_history,查看你的失序值使用歷史,Review how you spent Chaos Values,カオス値利用履歴を確認,失序值紀錄頁面副標
tokenHistory.empty.text,token_history,還沒有使用紀錄,No history yet,履歴はまだありません,失序值紀錄空狀態文字
tokenHistory.empty.button,token_history,開始使用,Start now,今すぐ始める,失序值紀錄空狀態按鈕
tokenHistory.description.createTopic,token_history,建立主題：{{title}},Create Topic: {{title}},トピック作成：{{title}},失序值交易描述：建立主題
tokenHistory.description.freeCreateTopic,token_history,免費建立主題：{{title}},Free Create Topic: {{title}},無料トピック作成：{{title}},失序值交易描述：免費建立主題
tokenHistory.description.createTopicPrefix,token_history,建立主題：,Create Topic: ,トピック作成：,失序值交易描述：建立主題前綴
tokenHistory.description.freeCreateTopicPrefix,token_history,免費建立主題：,Free Create Topic: ,無料トピック作成：,失序值交易描述：免費建立主題前綴
tokenHistory.description.castVote,token_history,投票使用 {{amount}} 失序值,Cast Vote using {{amount}} Chaos Values,{{amount}}カオス値で投票,失序值交易描述：投票使用失序值
tokenHistory.description.vote,token_history,投票：{{title}},Vote: {{title}},投票：{{title}},失序值交易描述：投票標題
tokenHistory.description.voteWithOption,token_history,投票：{{title}}（選項：{{option}}）,Vote: {{title}} (Option: {{option}}),投票：{{title}}（選択肢：{{option}}）,失序值交易描述：投票與選項
tokenHistory.description.watchAdReward,token_history,觀看廣告獲得 {{amount}} 失序值,Watch ad to earn {{amount}} Chaos Values,広告視聴で{{amount}}カオス値獲得,失序值交易描述：觀看廣告獎勵
tokenHistory.description.completeMission,token_history,完成任務,Completed mission,ミッション完了,失序值交易描述：完成任務
tokenHistory.description.votePrefix,token_history,投票使用,Vote using,投票使用,失序值交易描述：投票前綴
