key,category,zh,en,ja,description
mission.watchAd.limitReached,mission,今日觀看廣告次數已達上限,Daily ad watch limit reached,本日の広告視聴回数が上限に達しました,觀看廣告達到每日上限的錯誤訊息
mission.watchAd.limitReachedDesc,mission,最多可觀看 {{limit}} 次,Maximum {{limit}} ads per day,1日最大{{limit}}回まで視聴可能,觀看廣告上限的詳細說明
mission.watchAd.success,mission,獲得 {{amount}} 代幣！,Earned {{amount}} tokens!,{{amount}}トークンを獲得しました！,觀看廣告成功獲得代幣的訊息
mission.watchAd.successDesc,mission,今日剩餘 {{remaining}} 次觀看機會,{{remaining}} ad watches remaining today,本日あと{{remaining}}回視聴可能,觀看廣告成功後的剩餘次數說明
mission.watchAd.failed,mission,觀看廣告失敗,Failed to watch ad,広告視聴に失敗しました,觀看廣告失敗的錯誤訊息
mission.watchAd.notCompleted,mission,廣告未完整觀看,Ad not fully watched,広告が完全に視聴されていません,廣告未完整觀看的錯誤訊息
mission.watchAd.notLoggedIn,mission,請先登入,Please log in first,まずログインしてください,未登入時觀看廣告的錯誤訊息
mission.complete.failed,mission,完成任務失敗,Failed to complete mission,ミッション完了に失敗しました,完成任務失敗的錯誤訊息
mission.complete.alreadyCompleted,mission,任務已完成,Mission already completed,ミッションは既に完了しています,任務已完成的錯誤訊息
mission.complete.dailyLimitReached,mission,今日任務次數已達上限,Daily mission limit reached,本日のミッション回数が上限に達しました,今日任務次數已達上限的錯誤訊息
mission.complete.restricted,mission,完成任務功能已被暫停,Complete mission feature is suspended,ミッション完了機能が一時停止されています,完成任務功能被暫停的錯誤訊息
mission.dailyLogin.success,mission,簽到成功！獲得 {{amount}} 代幣,Login reward! Earned {{amount}} tokens,ログインボーナス！{{amount}}トークンを獲得,每日簽到成功的訊息
mission.dailyLogin.alreadyClaimed,mission,今日已簽到,Already claimed today,本日は既に受け取り済み,今日已簽到的訊息
mission.dailyLogin.failed,mission,簽到失敗,Failed to claim login reward,ログインボーナスの受け取りに失敗しました,簽到失敗的錯誤訊息
mission.dailyLogin.notLoggedIn,mission,請先登入,Please log in first,まずログインしてください,未登入時簽到的錯誤訊息
mission.list.5.name,mission,形象更新,Identity Refresh,プロフィール更新,任務列表：修改暱稱任務名稱
mission.list.5.description,mission,成功修改一次暱稱,Change your nickname once,ニックネームを1回変更する,任務列表：修改暱稱任務說明
mission.list.5.condition,mission,修改暱稱 1 次,Change nickname 1 time,ニックネームを1回変更する,任務列表：修改暱稱任務條件
profile.nickname.editHint,profile,點擊暱稱即可編輯，輸入新名稱後按右側勾勾儲存。,Tap your nickname to edit it, then press the check icon to save.,ニックネームをタップして編集し、新しい名前を入力してチェックアイコンで保存します。,個人頁：暱稱修改方式說明

mission.watchAd.failedDescDefault,mission,請稍後再試或聯繫客服,Please try again later or contact support,しばらくしてから再試行するか、サポートにお問い合わせください,觀看廣告失敗：預設說明（無詳細錯誤時）

mission.networkTimeout.title,mission,網路連線超時,Network connection timed out,ネットワーク接続がタイムアウトしました,通用：網路超時（標題）
mission.networkTimeout.desc,mission,請檢查網路連線，或稍後再試。如果問題持續，請聯繫客服。,Please check your network connection or try again later. If the problem persists, contact support.,ネットワーク接続をご確認のうえ再試行してください。問題が続く場合はサポートへご連絡ください。,通用：網路超時（說明）

mission.dailyLogin.streakDescTemplate,mission,當前連續登入 {{days}} 天,Current login streak: {{days}} days,連続ログイン：{{days}}日,簽到：連續登入描述模板
mission.dailyLogin.successDescTemplate,mission,連續登入 {{days}} 天,Login streak: {{days}} days,連続ログイン：{{days}}日,簽到：成功泡泡描述模板

mission.watchAd.rpcTimeout,mission,RPC 呼叫超時，請檢查網路連線或稍後再試,RPC request timed out. Check your network connection or try again later,RPC呼び出しがタイムアウトしました。ネットワーク接続を確認するか、後でもう一度お試しください,觀看廣告：RPC 超時
mission.watchAd.tokenIncreaseFailedTemplate,mission,增加代幣失敗：{{reason}},Failed to add tokens: {{reason}},トークンの付与に失敗しました：{{reason}},觀看廣告：加幣失敗模板
mission.watchAd.unknownError,mission,未知錯誤,Unknown error,不明なエラー,觀看廣告：未知錯誤
mission.tokenTx.watchAd,mission,觀看廣告,Watched advertisement,広告を視聴しました,代幣流水：觀看廣告交易描述
