key,category,zh,en,ja,description
changePassword.button.change,profile_settings,修改密碼,Change Password,パスワードを変更,個人頁面修改密碼項目的按鈕文字
changePassword.dialog.title,profile_settings,修改密碼,Change Your Password,パスワードを変更,修改密碼對話框標題
changePassword.dialog.description,profile_settings,設置一個強密碼來保護您的帳號安全,Set a strong password to keep your account safe,アカウントを守る強力なパスワードを設定しましょう,修改密碼對話框描述
changePassword.form.newPasswordLabel,profile_settings,新密碼,New Password,新しいパスワード,新密碼欄位標題
changePassword.form.newPasswordPlaceholder,profile_settings,輸入新密碼,Enter new password,新しいパスワードを入力,新密碼輸入框 placeholder
changePassword.form.confirmPasswordLabel,profile_settings,確認新密碼,Confirm New Password,新しいパスワードを確認,確認新密碼欄位標題
changePassword.form.confirmPasswordPlaceholder,profile_settings,再次輸入新密碼,Re-enter new password,新しいパスワードをもう一度入力,確認新密碼輸入框 placeholder
changePassword.form.requirements,profile_settings,密碼要求：至少 8 個字元，包含大小寫字母和數字,Password requirements: at least 8 characters with upper/lowercase letters and numbers,パスワード要件：8文字以上で英大文字・小文字・数字を含めてください,密碼要求提示文字
changePassword.button.confirm,profile_settings,確認修改,Confirm Update,変更を確定,送出修改密碼的主按鈕文字

